Genes,Margin,Gene,Patient ,Tissue
AJUBA_110,0.455128205,AJUBA,110,Margin
AJUBA_133,0.460869565,AJUBA,133,Margin
AJUBA_134,0.411392405,AJUBA,134,Margin
AJUBA_141,0.468208092,AJUBA,141,Margin
AJUBA_142,0.554545455,AJUBA,142,Margin
AJUBA_150,0.476821192,AJUBA,150,Margin
AJUBA_155,0.530434783,AJUBA,155,Margin
AJUBA_165,0.431034483,AJUBA,165,Margin
AJUBA_171,0.466216216,AJUBA,171,Margin
CASP8_110,0.447826087,CASP8,110,Margin
CASP8_133,0.52173913,CASP8,133,Margin
CASP8_134,0.473015873,CASP8,134,Margin
CASP8_141,0.46875,CASP8,141,Margin
CASP8_142,0.5234375,CASP8,142,Margin
CASP8_150,0.471042471,CASP8,150,Margin
CASP8_155,0.464052288,CASP8,155,Margin
CASP8_165,0.434456929,CASP8,165,Margin
CASP8_171,0.474418605,CASP8,171,Margin
CDKN2A_110,0.47706422,CDKN2A,110,Margin
CDKN2A_133,0.53125,CDKN2A,133,Margin
CDKN2A_134,0.510344828,CDKN2A,134,Margin
CDKN2A_141,0.483870968,CDKN2A,141,Margin
CDKN2A_142,0.489795918,CDKN2A,142,Margin
CDKN2A_150,0.567567568,CDKN2A,150,Margin
CDKN2A_155,0.417808219,CDKN2A,155,Margin
CDKN2A_165,0.384,CDKN2A,165,Margin
CDKN2A_171,0.475,CDKN2A,171,Margin
CUL3_110,0.436781609,CUL3,110,Margin
CUL3_133,0.482517483,CUL3,133,Margin
CUL3_134,0.471641791,CUL3,134,Margin
CUL3_141,0.432343234,CUL3,141,Margin
CUL3_142,0.373540856,CUL3,142,Margin
CUL3_150,0.423423423,CUL3,150,Margin
CUL3_155,0.440140845,CUL3,155,Margin
CUL3_165,0.363970588,CUL3,165,Margin
CUL3_171,0.436090226,CUL3,171,Margin
FAT1_110,0.489661654,FAT1,110,Margin
FAT1_133,0.486315789,FAT1,133,Margin
FAT1_134,0.517367459,FAT1,134,Margin
FAT1_141,0.488789238,FAT1,141,Margin
FAT1_142,0.508007117,FAT1,142,Margin
FAT1_150,0.468253968,FAT1,150,Margin
FAT1_155,0.468615649,FAT1,155,Margin
FAT1_165,0.463093146,FAT1,165,Margin
FAT1_171,0.463414634,FAT1,171,Margin
FBXW7_110,0.457142857,FBXW7,110,Margin
FBXW7_133,0.457317073,FBXW7,133,Margin
FBXW7_134,0.478672986,FBXW7,134,Margin
FBXW7_141,0.504950495,FBXW7,141,Margin
FBXW7_142,0.497237569,FBXW7,142,Margin
FBXW7_150,0.548780488,FBXW7,150,Margin
FBXW7_155,0.537037037,FBXW7,155,Margin
FBXW7_165,0.412790698,FBXW7,165,Margin
FBXW7_171,0.452380952,FBXW7,171,Margin
HLA.A_110,0.4,HLA.A,110,Margin
HLA.A_133,,HLA.A,133,Margin
HLA.A_134,,HLA.A,134,Margin
HLA.A_141,,HLA.A,141,Margin
HLA.A_142,,HLA.A,142,Margin
HLA.A_150,,HLA.A,150,Margin
HLA.A_155,,HLA.A,155,Margin
HLA.A_165,0,HLA.A,165,Margin
HLA.A_171,,HLA.A,171,Margin
KMT2D_110,0.405857741,KMT2D,110,Margin
KMT2D_133,0.444165621,KMT2D,133,Margin
KMT2D_134,0.444660194,KMT2D,134,Margin
KMT2D_141,0.393907563,KMT2D,141,Margin
KMT2D_142,0.51862069,KMT2D,142,Margin
KMT2D_150,0.511415525,KMT2D,150,Margin
KMT2D_155,0.482142857,KMT2D,155,Margin
KMT2D_165,0.443828017,KMT2D,165,Margin
KMT2D_171,0.482580645,KMT2D,171,Margin
NFE2L2_110,0.488888889,NFE2L2,110,Margin
NFE2L2_133,0.476190476,NFE2L2,133,Margin
NFE2L2_134,0.510204082,NFE2L2,134,Margin
NFE2L2_141,0.535031847,NFE2L2,141,Margin
NFE2L2_142,0.452054795,NFE2L2,142,Margin
NFE2L2_150,0.593333333,NFE2L2,150,Margin
NFE2L2_155,0.455172414,NFE2L2,155,Margin
NFE2L2_165,0.544117647,NFE2L2,165,Margin
NFE2L2_171,0.553030303,NFE2L2,171,Margin
NOTCH1_110,0.436599424,NOTCH1,110,Margin
NOTCH1_133,0.469483568,NOTCH1,133,Margin
NOTCH1_134,0.4836173,NOTCH1,134,Margin
NOTCH1_141,0.430906389,NOTCH1,141,Margin
NOTCH1_142,0.511290323,NOTCH1,142,Margin
NOTCH1_150,0.442441054,NOTCH1,150,Margin
NOTCH1_155,0.491754123,NOTCH1,155,Margin
NOTCH1_165,0.432786885,NOTCH1,165,Margin
NOTCH1_171,0.488304094,NOTCH1,171,Margin
NSD1_110,0.480225989,NSD1,110,Margin
NSD1_133,0.5,NSD1,133,Margin
NSD1_134,0.488527725,NSD1,134,Margin
NSD1_141,0.501992032,NSD1,141,Margin
NSD1_142,0.510373444,NSD1,142,Margin
NSD1_150,0.464705882,NSD1,150,Margin
NSD1_155,0.483811286,NSD1,155,Margin
NSD1_165,0.443987667,NSD1,165,Margin
NSD1_171,0.493243243,NSD1,171,Margin
PIK3CA_110,0.423529412,PIK3CA,110,Margin
PIK3CA_133,0.496031746,PIK3CA,133,Margin
PIK3CA_134,0.467236467,PIK3CA,134,Margin
PIK3CA_141,0.483383686,PIK3CA,141,Margin
PIK3CA_142,0.425149701,PIK3CA,142,Margin
PIK3CA_150,0.476821192,PIK3CA,150,Margin
PIK3CA_155,0.534090909,PIK3CA,155,Margin
PIK3CA_165,0.414239482,PIK3CA,165,Margin
PIK3CA_171,0.404682274,PIK3CA,171,Margin
PIK3R1_110,0.412751678,PIK3R1,110,Margin
PIK3R1_133,0.492537313,PIK3R1,133,Margin
PIK3R1_134,0.452459016,PIK3R1,134,Margin
PIK3R1_141,0.463949843,PIK3R1,141,Margin
PIK3R1_142,0.523489933,PIK3R1,142,Margin
PIK3R1_150,0.436893204,PIK3R1,150,Margin
PIK3R1_155,0.468646865,PIK3R1,155,Margin
PIK3R1_165,0.42662116,PIK3R1,165,Margin
PIK3R1_171,0.356083086,PIK3R1,171,Margin
PTEN_110,0.452380952,PTEN,110,Margin
PTEN_133,0.512605042,PTEN,133,Margin
PTEN_134,0.533101045,PTEN,134,Margin
PTEN_141,0.540740741,PTEN,141,Margin
PTEN_142,0.533088235,PTEN,142,Margin
PTEN_150,0.408759124,PTEN,150,Margin
PTEN_155,0.438356164,PTEN,155,Margin
PTEN_165,0.411003236,PTEN,165,Margin
PTEN_171,0.494208494,PTEN,171,Margin
RB1_110,0.477917981,RB1,110,Margin
RB1_133,0.512084592,RB1,133,Margin
RB1_134,0.456873315,RB1,134,Margin
RB1_141,0.496259352,RB1,141,Margin
RB1_142,0.514527845,RB1,142,Margin
RB1_150,0.411242604,RB1,150,Margin
RB1_155,0.493946731,RB1,155,Margin
RB1_165,0.453825858,RB1,165,Margin
RB1_171,0.468299712,RB1,171,Margin
TGFBR2_110,0.4,TGFBR2,110,Margin
TGFBR2_133,0.511415525,TGFBR2,133,Margin
TGFBR2_134,0.478448276,TGFBR2,134,Margin
TGFBR2_141,0.47706422,TGFBR2,141,Margin
TGFBR2_142,0.55721393,TGFBR2,142,Margin
TGFBR2_150,0.5,TGFBR2,150,Margin
TGFBR2_155,0.472803347,TGFBR2,155,Margin
TGFBR2_165,0.506329114,TGFBR2,165,Margin
TGFBR2_171,0.481012658,TGFBR2,171,Margin
TP53_110,0.436842105,TP53,110,Margin
TP53_133,0.491803279,TP53,133,Margin
TP53_134,0.489539749,TP53,134,Margin
TP53_141,0.480349345,TP53,141,Margin
TP53_142,0.5,TP53,142,Margin
TP53_150,0.454148472,TP53,150,Margin
TP53_155,0.408653846,TP53,155,Margin
TP53_165,0.345794393,TP53,165,Margin
TP53_171,0.464285714,TP53,171,Margin
TRAF3_110,0.502024291,TRAF3,110,Margin
TRAF3_133,0.492307692,TRAF3,133,Margin
TRAF3_134,0.5221843,TRAF3,134,Margin
TRAF3_141,0.405498282,TRAF3,141,Margin
TRAF3_142,0.537593985,TRAF3,142,Margin
TRAF3_150,0.507936508,TRAF3,150,Margin
TRAF3_155,0.484210526,TRAF3,155,Margin
TRAF3_165,0.471186441,TRAF3,165,Margin
TRAF3_171,0.448398577,TRAF3,171,Margin